city: voronezh; country: russia; is capital: false; over million population: false
city: tula; country: russia; is capital: false; over million population: false
city: bremen; country: germany; is capital: false; over million population: false
city: hamburg; country: germany; is capital: false; over million population: true
city: stuttgart; country: germany; is capital: false; over million population: false
city: nuremberg; country: germany; is capital: false; over million population: false
city: glasgow; country: uk; is capital: false; over million population: false
city: sheffield; country: uk; is capital: false; over million population: false
city: newcastle; country: uk; is capital: false; over million population: false
city: edinburgh; country: uk; is capital: false; over million population: false
city: cardiff; country: uk; is capital: false; over million population: false
city: bristol; country: uk; is capital: false; over million population: false
city: los-angeles; country: us; is capital: false; over million population: true
city: memphis; country: us; is capital: false; over million population: false
city: phoenix; country: us; is capital: false; over million population: true
city: austin; country: us; is capital: false; over million population: false
city: boston; country: us; is capital: false; over million population: false
city: nashville; country: us; is capital: false; over million population: false
city: tucson; country: us; is capital: false; over million population: false
city: rome; country: italy; is capital: true; over million population: true
city: milano; country: italy; is capital: false; over million population: true
city: venice; country: italy; is capital: false; over million population: false
city: modena; country: italy; is capital: false; over million population: false
city: florence; country: italy; is capital: false; over million population: false
city: trento; country: italy; is capital: false; over million population: false
city: monza; country: italy; is capital: false; over million population: false
city: ravenna; country: italy; is capital: false; over million population: false
