city: moscow; country: russia; is capital: true; over million population: true
city: st_petersburg; country: russia; is capital: false; over million population: true
city: kazan; country: russia; is capital: false; over million population: true
city: yekaterinburg; country: russia; is capital: false; over million population: true
city: novosibirsk; country: russia; is capital: false; over million population: true
city: omsk; country: russia; is capital: false; over million population: true
city: vladivostok; country: russia; is capital: false; over million population: false
city: irkutsk; country: russia; is capital: false; over million population: false
city: berlin; country: germany; is capital: true; over million population: true
city: munich; country: germany; is capital: false; over million population: true
city: dresden; country: germany; is capital: false; over million population: false
city: leipzig; country: germany; is capital: false; over million population: false
city: hanover; country: germany; is capital: false; over million population: false
city: essen; country: germany; is capital: false; over million population: false
city: london; country: uk; is capital: true; over million population: true
city: manchester; country: uk; is capital: false; over million population: false
city: liverpool; country: uk; is capital: false; over million population: false
city: belfast; country: uk; is capital: false; over million population: false
city: washington; country: us; is capital: true; over million population: true
city: seattle; country: us; is capital: false; over million population: false
city: atlanta; country: us; is capital: false; over million population: false
city: palermo; country: italy; is capital: false; over million population: false
city: padua; country: italy; is capital: false; over million population: false
